Category: All categories

Month,louisville slugger bat: (United States)
2014-01,42
2014-02,55
2014-03,67
2014-04,72
2014-05,80
2014-06,81
2014-07,61
2014-08,57
2014-09,51
2014-10,49
2014-11,45
2014-12,37
2015-01,44
2015-02,61
2015-03,84
2015-04,87
2015-05,85
2015-06,81
2015-07,73
2015-08,50
2015-09,45
2015-10,42
2015-11,46
2015-12,36
2016-01,44
2016-02,62
2016-03,79
2016-04,83
2016-05,100
2016-06,99
2016-07,74
2016-08,53
2016-09,53
2016-10,45
2016-11,60
2016-12,47
2017-01,46
2017-02,62
2017-03,76
2017-04,86
2017-05,80
2017-06,78
2017-07,68
2017-08,55
2017-09,46
2017-10,50
2017-11,51
2017-12,47
2018-01,58
2018-02,74
2018-03,90
2018-04,77
2018-05,73
2018-06,69
2018-07,65
2018-08,47
2018-09,46
2018-10,47
2018-11,39
2018-12,39
2019-01,44
2019-02,67
2019-03,83
2019-04,85
2019-05,75
2019-06,82
2019-07,62
2019-08,52
2019-09,44
2019-10,51
2019-11,40
2019-12,36
2020-01,43
2020-02,68
2020-03,56
2020-04,24
2020-05,31
2020-06,53
2020-07,57
2020-08,63
2020-09,50
2020-10,53
2020-11,36
2020-12,31
2021-01,28
2021-02,41
2021-03,67
2021-04,80
2021-05,77
2021-06,79
2021-07,73
2021-08,51
2021-09,54
2021-10,46
2021-11,47
2021-12,43
2022-01,46
2022-02,72
2022-03,78
2022-04,88
2022-05,85
2022-06,77
2022-07,72
2022-08,63
2022-09,47
2022-10,42
2022-11,48
2022-12,40
2023-01,46
2023-02,66
2023-03,87
2023-04,93
2023-05,85
2023-06,97
2023-07,73
2023-08,60
2023-09,64
2023-10,53
2023-11,48
2023-12,37
