Category: All categories

Month,mark zuckerberg: (United States)
2014-01,6
2014-02,10
2014-03,9
2014-04,7
2014-05,9
2014-06,5
2014-07,6
2014-08,7
2014-09,6
2014-10,10
2014-11,6
2014-12,6
2015-01,7
2015-02,9
2015-03,6
2015-04,6
2015-05,7
2015-06,6
2015-07,7
2015-08,9
2015-09,11
2015-10,9
2015-11,9
2015-12,63
2016-01,13
2016-02,18
2016-03,8
2016-04,8
2016-05,9
2016-06,9
2016-07,8
2016-08,6
2016-09,8
2016-10,8
2016-11,10
2016-12,10
2017-01,14
2017-02,9
2017-03,8
2017-04,8
2017-05,13
2017-06,8
2017-07,9
2017-08,9
2017-09,9
2017-10,11
2017-11,9
2017-12,8
2018-01,8
2018-02,7
2018-03,20
2018-04,100
2018-05,12
2018-06,8
2018-07,13
2018-08,7
2018-09,7
2018-10,7
2018-11,9
2018-12,8
2019-01,8
2019-02,8
2019-03,8
2019-04,7
2019-05,7
2019-06,7
2019-07,7
2019-08,7
2019-09,7
2019-10,17
2019-11,9
2019-12,7
2020-01,7
2020-02,7
2020-03,7
2020-04,19
2020-05,17
2020-06,13
2020-07,18
2020-08,13
2020-09,10
2020-10,9
2020-11,14
2020-12,11
2021-01,12
2021-02,8
2021-03,7
2021-04,7
2021-05,8
2021-06,8
2021-07,9
2021-08,6
2021-09,6
2021-10,27
2021-11,13
2021-12,9
2022-01,14
2022-02,14
2022-03,8
2022-04,11
2022-05,9
2022-06,6
2022-07,8
2022-08,11
2022-09,11
2022-10,12
2022-11,10
2022-12,6
2023-01,6
2023-02,6
2023-03,7
2023-04,6
2023-05,7
2023-06,24
2023-07,25
2023-08,15
2023-09,7
2023-10,7
2023-11,11
2023-12,10
