Category: All categories

Month,Marriott: (United States)
2014-01,87
2014-02,89
2014-03,91
2014-04,93
2014-05,89
2014-06,94
2014-07,100
2014-08,92
2014-09,82
2014-10,81
2014-11,68
2014-12,72
2015-01,85
2015-02,82
2015-03,85
2015-04,83
2015-05,86
2015-06,94
2015-07,100
2015-08,89
2015-09,77
2015-10,79
2015-11,68
2015-12,68
2016-01,76
2016-02,79
2016-03,87
2016-04,82
2016-05,83
2016-06,91
2016-07,91
2016-08,80
2016-09,75
2016-10,73
2016-11,64
2016-12,63
2017-01,75
2017-02,81
2017-03,84
2017-04,78
2017-05,84
2017-06,91
2017-07,98
2017-08,88
2017-09,83
2017-10,80
2017-11,71
2017-12,68
2018-01,78
2018-02,83
2018-03,87
2018-04,85
2018-05,85
2018-06,92
2018-07,95
2018-08,93
2018-09,78
2018-10,77
2018-11,71
2018-12,66
2019-01,80
2019-02,83
2019-03,85
2019-04,82
2019-05,84
2019-06,90
2019-07,97
2019-08,86
2019-09,73
2019-10,73
2019-11,65
2019-12,69
2020-01,76
2020-02,80
2020-03,48
2020-04,20
2020-05,29
2020-06,45
2020-07,43
2020-08,48
2020-09,43
2020-10,44
2020-11,33
2020-12,33
2021-01,39
2021-02,51
2021-03,59
2021-04,63
2021-05,68
2021-06,78
2021-07,78
2021-08,64
2021-09,60
2021-10,62
2021-11,58
2021-12,55
2022-01,60
2022-02,74
2022-03,77
2022-04,75
2022-05,74
2022-06,80
2022-07,80
2022-08,77
2022-09,68
2022-10,66
2022-11,62
2022-12,60
2023-01,70
2023-02,73
2023-03,75
2023-04,70
2023-05,71
2023-06,77
2023-07,79
2023-08,72
2023-09,63
2023-10,62
2023-11,59
2023-12,57
