Category: All categories

Month,mgm: (United States)
2014-01,41
2014-02,37
2014-03,39
2014-04,39
2014-05,40
2014-06,34
2014-07,40
2014-08,36
2014-09,34
2014-10,30
2014-11,29
2014-12,32
2015-01,34
2015-02,37
2015-03,41
2015-04,40
2015-05,43
2015-06,36
2015-07,40
2015-08,35
2015-09,31
2015-10,29
2015-11,28
2015-12,30
2016-01,34
2016-02,33
2016-03,36
2016-04,34
2016-05,35
2016-06,36
2016-07,37
2016-08,36
2016-09,32
2016-10,35
2016-11,36
2016-12,65
2017-01,44
2017-02,41
2017-03,43
2017-04,38
2017-05,43
2017-06,43
2017-07,44
2017-08,42
2017-09,39
2017-10,44
2017-11,35
2017-12,38
2018-01,37
2018-02,39
2018-03,40
2018-04,43
2018-05,47
2018-06,46
2018-07,56
2018-08,62
2018-09,52
2018-10,46
2018-11,47
2018-12,49
2019-01,49
2019-02,49
2019-03,52
2019-04,50
2019-05,51
2019-06,51
2019-07,52
2019-08,46
2019-09,45
2019-10,43
2019-11,43
2019-12,45
2020-01,47
2020-02,49
2020-03,56
2020-04,34
2020-05,38
2020-06,57
2020-07,50
2020-08,40
2020-09,35
2020-10,34
2020-11,29
2020-12,30
2021-01,34
2021-02,42
2021-03,45
2021-04,47
2021-05,64
2021-06,56
2021-07,56
2021-08,47
2021-09,50
2021-10,50
2021-11,46
2021-12,47
2022-01,50
2022-02,57
2022-03,63
2022-04,56
2022-05,53
2022-06,54
2022-07,62
2022-08,60
2022-09,52
2022-10,49
2022-11,48
2022-12,52
2023-01,62
2023-02,60
2023-03,57
2023-04,58
2023-05,56
2023-06,61
2023-07,63
2023-08,56
2023-09,100
2023-10,59
2023-11,53
2023-12,54
