Category: All categories

Month,Michelin Star Restaurants: (United States)
2014-01,19
2014-02,16
2014-03,16
2014-04,17
2014-05,18
2014-06,20
2014-07,22
2014-08,24
2014-09,22
2014-10,23
2014-11,22
2014-12,27
2015-01,25
2015-02,20
2015-03,19
2015-04,20
2015-05,23
2015-06,20
2015-07,22
2015-08,23
2015-09,20
2015-10,24
2015-11,23
2015-12,21
2016-01,33
2016-02,33
2016-03,25
2016-04,24
2016-05,29
2016-06,30
2016-07,29
2016-08,27
2016-09,28
2016-10,36
2016-11,27
2016-12,28
2017-01,33
2017-02,34
2017-03,34
2017-04,30
2017-05,32
2017-06,32
2017-07,32
2017-08,32
2017-09,35
2017-10,35
2017-11,33
2017-12,36
2018-01,34
2018-02,35
2018-03,36
2018-04,36
2018-05,34
2018-06,43
2018-07,43
2018-08,40
2018-09,48
2018-10,36
2018-11,48
2018-12,58
2019-01,48
2019-02,46
2019-03,40
2019-04,34
2019-05,42
2019-06,48
2019-07,44
2019-08,48
2019-09,46
2019-10,42
2019-11,39
2019-12,37
2020-01,43
2020-02,38
2020-03,22
2020-04,19
2020-05,20
2020-06,21
2020-07,24
2020-08,25
2020-09,27
2020-10,28
2020-11,27
2020-12,25
2021-01,27
2021-02,28
2021-03,32
2021-04,38
2021-05,49
2021-06,49
2021-07,52
2021-08,53
2021-09,60
2021-10,52
2021-11,48
2021-12,54
2022-01,72
2022-02,65
2022-03,76
2022-04,61
2022-05,65
2022-06,80
2022-07,80
2022-08,69
2022-09,64
2022-10,71
2022-11,58
2022-12,86
2023-01,85
2023-02,72
2023-03,70
2023-04,67
2023-05,69
2023-06,76
2023-07,100
2023-08,76
2023-09,72
2023-10,74
2023-11,75
2023-12,73
