Category: All categories

Month,most expensive trips: (United States)
2014-01,0
2014-02,0
2014-03,28
2014-04,0
2014-05,0
2014-06,26
2014-07,0
2014-08,0
2014-09,28
2014-10,58
2014-11,28
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,60
2015-05,0
2015-06,52
2015-07,40
2015-08,0
2015-09,0
2015-10,0
2015-11,25
2015-12,0
2016-01,39
2016-02,0
2016-03,33
2016-04,0
2016-05,35
2016-06,25
2016-07,0
2016-08,34
2016-09,0
2016-10,14
2016-11,29
2016-12,0
2017-01,27
2017-02,33
2017-03,28
2017-04,25
2017-05,51
2017-06,83
2017-07,15
2017-08,13
2017-09,0
2017-10,0
2017-11,14
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,19
2018-05,58
2018-06,21
2018-07,31
2018-08,0
2018-09,31
2018-10,0
2018-11,20
2018-12,0
2019-01,22
2019-02,29
2019-03,36
2019-04,29
2019-05,31
2019-06,29
2019-07,0
2019-08,0
2019-09,0
2019-10,13
2019-11,0
2019-12,24
2020-01,16
2020-02,36
2020-03,0
2020-04,33
2020-05,53
2020-06,26
2020-07,0
2020-08,15
2020-09,0
2020-10,0
2020-11,27
2020-12,16
2021-01,23
2021-02,0
2021-03,27
2021-04,19
2021-05,47
2021-06,31
2021-07,32
2021-08,15
2021-09,21
2021-10,26
2021-11,31
2021-12,0
2022-01,23
2022-02,64
2022-03,46
2022-04,50
2022-05,53
2022-06,31
2022-07,41
2022-08,58
2022-09,22
2022-10,36
2022-11,48
2022-12,100
2023-01,60
2023-02,59
2023-03,45
2023-04,23
2023-05,22
2023-06,20
2023-07,25
2023-08,22
2023-09,33
2023-10,42
2023-11,91
2023-12,62
