Category: All categories

Month,most fun cruise: (United States)
2014-01,19
2014-02,18
2014-03,21
2014-04,25
2014-05,27
2014-06,43
2014-07,45
2014-08,17
2014-09,0
2014-10,39
2014-11,18
2014-12,18
2015-01,31
2015-02,0
2015-03,24
2015-04,0
2015-05,17
2015-06,100
2015-07,25
2015-08,28
2015-09,17
2015-10,0
2015-11,49
2015-12,0
2016-01,19
2016-02,16
2016-03,0
2016-04,9
2016-05,39
2016-06,33
2016-07,26
2016-08,30
2016-09,14
2016-10,9
2016-11,10
2016-12,34
2017-01,44
2017-02,48
2017-03,35
2017-04,21
2017-05,24
2017-06,53
2017-07,17
2017-08,12
2017-09,11
2017-10,0
2017-11,0
2017-12,11
2018-01,42
2018-02,24
2018-03,22
2018-04,7
2018-05,22
2018-06,39
2018-07,13
2018-08,13
2018-09,14
2018-10,31
2018-11,31
2018-12,58
2019-01,57
2019-02,32
2019-03,44
2019-04,14
2019-05,24
2019-06,15
2019-07,26
2019-08,41
2019-09,0
2019-10,15
2019-11,24
2019-12,12
2020-01,49
2020-02,44
2020-03,11
2020-04,24
2020-05,7
2020-06,7
2020-07,15
2020-08,11
2020-09,0
2020-10,<1
2020-11,17
2020-12,0
2021-01,8
2021-02,<1
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,13
2021-08,11
2021-09,0
2021-10,10
2021-11,9
2021-12,13
2022-01,10
2022-02,24
2022-03,48
2022-04,29
2022-05,49
2022-06,28
2022-07,32
2022-08,25
2022-09,13
2022-10,23
2022-11,30
2022-12,29
2023-01,55
2023-02,49
2023-03,35
2023-04,26
2023-05,27
2023-06,50
2023-07,40
2023-08,28
2023-09,15
2023-10,36
2023-11,30
2023-12,43
