Category: All categories

Month,motels: (United States)
2014-01,46
2014-02,54
2014-03,62
2014-04,59
2014-05,69
2014-06,83
2014-07,86
2014-08,73
2014-09,59
2014-10,52
2014-11,41
2014-12,41
2015-01,48
2015-02,60
2015-03,61
2015-04,59
2015-05,69
2015-06,83
2015-07,93
2015-08,80
2015-09,64
2015-10,55
2015-11,42
2015-12,42
2016-01,53
2016-02,64
2016-03,71
2016-04,68
2016-05,78
2016-06,91
2016-07,100
2016-08,76
2016-09,70
2016-10,63
2016-11,49
2016-12,52
2017-01,54
2017-02,61
2017-03,72
2017-04,65
2017-05,74
2017-06,91
2017-07,98
2017-08,82
2017-09,74
2017-10,63
2017-11,49
2017-12,52
2018-01,53
2018-02,60
2018-03,71
2018-04,61
2018-05,66
2018-06,78
2018-07,82
2018-08,76
2018-09,61
2018-10,55
2018-11,48
2018-12,46
2019-01,46
2019-02,55
2019-03,63
2019-04,59
2019-05,65
2019-06,78
2019-07,78
2019-08,69
2019-09,59
2019-10,52
2019-11,46
2019-12,46
2020-01,48
2020-02,53
2020-03,41
2020-04,31
2020-05,45
2020-06,67
2020-07,60
2020-08,54
2020-09,47
2020-10,46
2020-11,39
2020-12,38
2021-01,40
2021-02,46
2021-03,57
2021-04,67
2021-05,65
2021-06,74
2021-07,75
2021-08,68
2021-09,59
2021-10,55
2021-11,45
2021-12,40
2022-01,39
2022-02,47
2022-03,53
2022-04,47
2022-05,49
2022-06,56
2022-07,60
2022-08,54
2022-09,46
2022-10,41
2022-11,31
2022-12,31
2023-01,32
2023-02,36
2023-03,38
2023-04,36
2023-05,39
2023-06,45
2023-07,46
2023-08,40
2023-09,35
2023-10,31
2023-11,26
2023-12,26
