Category: All categories

Month,Nike: (United States)
2014-01,50
2014-02,57
2014-03,57
2014-04,54
2014-05,51
2014-06,51
2014-07,55
2014-08,57
2014-09,49
2014-10,45
2014-11,54
2014-12,65
2015-01,51
2015-02,53
2015-03,57
2015-04,53
2015-05,53
2015-06,51
2015-07,61
2015-08,63
2015-09,51
2015-10,54
2015-11,65
2015-12,72
2016-01,62
2016-02,65
2016-03,64
2016-04,62
2016-05,60
2016-06,57
2016-07,62
2016-08,66
2016-09,55
2016-10,58
2016-11,69
2016-12,72
2017-01,54
2017-02,55
2017-03,61
2017-04,56
2017-05,52
2017-06,50
2017-07,57
2017-08,66
2017-09,53
2017-10,53
2017-11,69
2017-12,71
2018-01,52
2018-02,57
2018-03,64
2018-04,55
2018-05,52
2018-06,54
2018-07,65
2018-08,64
2018-09,100
2018-10,51
2018-11,67
2018-12,75
2019-01,57
2019-02,60
2019-03,62
2019-04,57
2019-05,54
2019-06,57
2019-07,67
2019-08,67
2019-09,53
2019-10,54
2019-11,70
2019-12,80
2020-01,59
2020-02,62
2020-03,51
2020-04,54
2020-05,72
2020-06,69
2020-07,66
2020-08,63
2020-09,57
2020-10,59
2020-11,68
2020-12,75
2021-01,55
2021-02,60
2021-03,69
2021-04,70
2021-05,58
2021-06,57
2021-07,66
2021-08,71
2021-09,62
2021-10,60
2021-11,83
2021-12,86
2022-01,62
2022-02,63
2022-03,67
2022-04,62
2022-05,61
2022-06,58
2022-07,65
2022-08,73
2022-09,62
2022-10,60
2022-11,82
2022-12,90
2023-01,66
2023-02,65
2023-03,66
2023-04,66
2023-05,64
2023-06,60
2023-07,66
2023-08,70
2023-09,59
2023-10,59
2023-11,80
2023-12,83
