Category: All categories

Month,Nike football: (United States)
2014-01,49
2014-02,42
2014-03,38
2014-04,42
2014-05,48
2014-06,56
2014-07,67
2014-08,88
2014-09,72
2014-10,63
2014-11,56
2014-12,64
2015-01,60
2015-02,47
2015-03,42
2015-04,45
2015-05,51
2015-06,48
2015-07,64
2015-08,78
2015-09,80
2015-10,62
2015-11,64
2015-12,65
2016-01,53
2016-02,50
2016-03,47
2016-04,47
2016-05,58
2016-06,51
2016-07,64
2016-08,84
2016-09,74
2016-10,65
2016-11,60
2016-12,55
2017-01,43
2017-02,39
2017-03,35
2017-04,40
2017-05,45
2017-06,44
2017-07,53
2017-08,81
2017-09,60
2017-10,52
2017-11,55
2017-12,45
2018-01,37
2018-02,35
2018-03,35
2018-04,36
2018-05,49
2018-06,45
2018-07,55
2018-08,60
2018-09,100
2018-10,45
2018-11,43
2018-12,40
2019-01,30
2019-02,30
2019-03,28
2019-04,29
2019-05,33
2019-06,36
2019-07,47
2019-08,58
2019-09,56
2019-10,38
2019-11,45
2019-12,41
2020-01,30
2020-02,29
2020-03,20
2020-04,18
2020-05,21
2020-06,30
2020-07,32
2020-08,38
2020-09,37
2020-10,36
2020-11,32
2020-12,30
2021-01,26
2021-02,25
2021-03,27
2021-04,26
2021-05,25
2021-06,30
2021-07,40
2021-08,56
2021-09,54
2021-10,43
2021-11,44
2021-12,39
2022-01,33
2022-02,30
2022-03,33
2022-04,35
2022-05,37
2022-06,45
2022-07,55
2022-08,78
2022-09,62
2022-10,44
2022-11,52
2022-12,44
2023-01,33
2023-02,35
2023-03,33
2023-04,32
2023-05,43
2023-06,39
2023-07,50
2023-08,61
2023-09,60
2023-10,47
2023-11,56
2023-12,48
