Category: All categories

Month,norwegian cruises: (United States)
2014-01,26
2014-02,20
2014-03,20
2014-04,16
2014-05,14
2014-06,16
2014-07,20
2014-08,16
2014-09,14
2014-10,12
2014-11,12
2014-12,13
2015-01,24
2015-02,23
2015-03,21
2015-04,16
2015-05,16
2015-06,19
2015-07,19
2015-08,18
2015-09,14
2015-10,14
2015-11,14
2015-12,14
2016-01,21
2016-02,18
2016-03,16
2016-04,16
2016-05,15
2016-06,19
2016-07,18
2016-08,16
2016-09,12
2016-10,22
2016-11,22
2016-12,14
2017-01,25
2017-02,19
2017-03,58
2017-04,19
2017-05,19
2017-06,17
2017-07,20
2017-08,20
2017-09,13
2017-10,16
2017-11,16
2017-12,15
2018-01,28
2018-02,37
2018-03,57
2018-04,21
2018-05,17
2018-06,20
2018-07,59
2018-08,39
2018-09,19
2018-10,48
2018-11,47
2018-12,47
2019-01,100
2019-02,99
2019-03,72
2019-04,22
2019-05,20
2019-06,44
2019-07,54
2019-08,22
2019-09,18
2019-10,42
2019-11,19
2019-12,20
2020-01,31
2020-02,69
2020-03,19
2020-04,7
2020-05,6
2020-06,6
2020-07,4
2020-08,4
2020-09,4
2020-10,3
2020-11,3
2020-12,4
2021-01,5
2021-02,6
2021-03,6
2021-04,6
2021-05,8
2021-06,9
2021-07,9
2021-08,7
2021-09,7
2021-10,8
2021-11,9
2021-12,7
2022-01,10
2022-02,12
2022-03,15
2022-04,16
2022-05,14
2022-06,16
2022-07,19
2022-08,19
2022-09,16
2022-10,16
2022-11,18
2022-12,19
2023-01,35
2023-02,27
2023-03,23
2023-04,21
2023-05,19
2023-06,20
2023-07,21
2023-08,17
2023-09,16
2023-10,15
2023-11,20
2023-12,19
