Category: All categories

Month,Odyssey putters: (United States)
2014-01,30
2014-02,29
2014-03,42
2014-04,46
2014-05,42
2014-06,47
2014-07,42
2014-08,45
2014-09,39
2014-10,20
2014-11,22
2014-12,24
2015-01,32
2015-02,36
2015-03,43
2015-04,56
2015-05,46
2015-06,62
2015-07,60
2015-08,57
2015-09,42
2015-10,32
2015-11,25
2015-12,28
2016-01,26
2016-02,36
2016-03,44
2016-04,45
2016-05,52
2016-06,53
2016-07,59
2016-08,49
2016-09,40
2016-10,31
2016-11,26
2016-12,27
2017-01,36
2017-02,42
2017-03,42
2017-04,57
2017-05,52
2017-06,54
2017-07,61
2017-08,63
2017-09,39
2017-10,30
2017-11,29
2017-12,34
2018-01,30
2018-02,42
2018-03,45
2018-04,59
2018-05,59
2018-06,67
2018-07,61
2018-08,59
2018-09,40
2018-10,26
2018-11,27
2018-12,23
2019-01,35
2019-02,48
2019-03,44
2019-04,55
2019-05,48
2019-06,59
2019-07,57
2019-08,47
2019-09,32
2019-10,26
2019-11,22
2019-12,25
2020-01,34
2020-02,37
2020-03,27
2020-04,24
2020-05,37
2020-06,62
2020-07,61
2020-08,64
2020-09,48
2020-10,40
2020-11,42
2020-12,43
2021-01,42
2021-02,51
2021-03,49
2021-04,63
2021-05,60
2021-06,64
2021-07,56
2021-08,51
2021-09,42
2021-10,30
2021-11,29
2021-12,26
2022-01,34
2022-02,39
2022-03,43
2022-04,47
2022-05,44
2022-06,48
2022-07,48
2022-08,53
2022-09,36
2022-10,24
2022-11,25
2022-12,24
2023-01,32
2023-02,41
2023-03,42
2023-04,53
2023-05,55
2023-06,100
2023-07,73
2023-08,60
2023-09,40
2023-10,33
2023-11,40
2023-12,33
