Category: All categories

Month,orbitz: (United States)
2014-01,100
2014-02,96
2014-03,98
2014-04,93
2014-05,95
2014-06,93
2014-07,96
2014-08,90
2014-09,81
2014-10,71
2014-11,69
2014-12,76
2015-01,95
2015-02,88
2015-03,85
2015-04,74
2015-05,83
2015-06,90
2015-07,88
2015-08,77
2015-09,68
2015-10,67
2015-11,58
2015-12,61
2016-01,56
2016-02,59
2016-03,61
2016-04,54
2016-05,56
2016-06,56
2016-07,54
2016-08,50
2016-09,42
2016-10,41
2016-11,40
2016-12,38
2017-01,48
2017-02,47
2017-03,51
2017-04,43
2017-05,50
2017-06,48
2017-07,48
2017-08,46
2017-09,40
2017-10,39
2017-11,36
2017-12,35
2018-01,44
2018-02,43
2018-03,44
2018-04,39
2018-05,40
2018-06,42
2018-07,39
2018-08,39
2018-09,36
2018-10,33
2018-11,31
2018-12,28
2019-01,39
2019-02,38
2019-03,36
2019-04,34
2019-05,37
2019-06,39
2019-07,37
2019-08,33
2019-09,29
2019-10,29
2019-11,29
2019-12,28
2020-01,35
2020-02,33
2020-03,25
2020-04,9
2020-05,12
2020-06,17
2020-07,14
2020-08,14
2020-09,15
2020-10,15
2020-11,11
2020-12,11
2021-01,13
2021-02,17
2021-03,21
2021-04,21
2021-05,22
2021-06,25
2021-07,22
2021-08,16
2021-09,16
2021-10,17
2021-11,16
2021-12,15
2022-01,20
2022-02,24
2022-03,26
2022-04,22
2022-05,21
2022-06,21
2022-07,20
2022-08,18
2022-09,17
2022-10,16
2022-11,15
2022-12,15
2023-01,19
2023-02,19
2023-03,19
2023-04,16
2023-05,17
2023-06,18
2023-07,17
2023-08,16
2023-09,15
2023-10,14
2023-11,14
2023-12,12
