Category: All categories

Month,planet fitness: (United States)
2014-01,54
2014-02,41
2014-03,43
2014-04,37
2014-05,38
2014-06,35
2014-07,31
2014-08,28
2014-09,29
2014-10,30
2014-11,30
2014-12,36
2015-01,58
2015-02,41
2015-03,43
2015-04,40
2015-05,37
2015-06,40
2015-07,37
2015-08,34
2015-09,32
2015-10,28
2015-11,35
2015-12,39
2016-01,67
2016-02,52
2016-03,47
2016-04,44
2016-05,52
2016-06,47
2016-07,48
2016-08,41
2016-09,38
2016-10,36
2016-11,40
2016-12,48
2017-01,82
2017-02,56
2017-03,52
2017-04,52
2017-05,56
2017-06,55
2017-07,57
2017-08,48
2017-09,49
2017-10,43
2017-11,47
2017-12,53
2018-01,81
2018-02,64
2018-03,60
2018-04,60
2018-05,58
2018-06,58
2018-07,67
2018-08,54
2018-09,55
2018-10,47
2018-11,55
2018-12,63
2019-01,92
2019-02,70
2019-03,67
2019-04,67
2019-05,78
2019-06,76
2019-07,75
2019-08,62
2019-09,59
2019-10,54
2019-11,60
2019-12,67
2020-01,100
2020-02,76
2020-03,74
2020-04,19
2020-05,52
2020-06,84
2020-07,61
2020-08,52
2020-09,63
2020-10,62
2020-11,62
2020-12,57
2021-01,80
2021-02,74
2021-03,70
2021-04,66
2021-05,74
2021-06,72
2021-07,67
2021-08,56
2021-09,57
2021-10,51
2021-11,58
2021-12,58
2022-01,74
2022-02,65
2022-03,62
2022-04,58
2022-05,90
2022-06,82
2022-07,77
2022-08,59
2022-09,54
2022-10,50
2022-11,54
2022-12,59
2023-01,79
2023-02,67
2023-03,61
2023-04,60
2023-05,77
2023-06,79
2023-07,76
2023-08,57
2023-09,54
2023-10,50
2023-11,56
2023-12,58
