Category: All categories

Month,playa hotels & resorts: (United States)
2014-01,15
2014-02,0
2014-03,36
2014-04,15
2014-05,27
2014-06,0
2014-07,49
2014-08,28
2014-09,0
2014-10,36
2014-11,0
2014-12,0
2015-01,55
2015-02,0
2015-03,0
2015-04,0
2015-05,69
2015-06,39
2015-07,0
2015-08,44
2015-09,68
2015-10,31
2015-11,31
2015-12,0
2016-01,36
2016-02,27
2016-03,45
2016-04,46
2016-05,29
2016-06,35
2016-07,55
2016-08,35
2016-09,35
2016-10,19
2016-11,27
2016-12,50
2017-01,30
2017-02,37
2017-03,27
2017-04,11
2017-05,34
2017-06,25
2017-07,41
2017-08,32
2017-09,12
2017-10,15
2017-11,37
2017-12,18
2018-01,0
2018-02,82
2018-03,34
2018-04,0
2018-05,11
2018-06,0
2018-07,51
2018-08,31
2018-09,16
2018-10,28
2018-11,0
2018-12,0
2019-01,66
2019-02,49
2019-03,34
2019-04,34
2019-05,27
2019-06,37
2019-07,20
2019-08,100
2019-09,11
2019-10,0
2019-11,27
2019-12,45
2020-01,49
2020-02,0
2020-03,31
2020-04,18
2020-05,11
2020-06,48
2020-07,26
2020-08,0
2020-09,0
2020-10,0
2020-11,12
2020-12,0
2021-01,0
2021-02,58
2021-03,22
2021-04,36
2021-05,24
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,19
2021-11,46
2021-12,56
2022-01,31
2022-02,32
2022-03,19
2022-04,0
2022-05,40
2022-06,38
2022-07,39
2022-08,49
2022-09,30
2022-10,13
2022-11,0
2022-12,35
2023-01,24
2023-02,0
2023-03,26
2023-04,38
2023-05,14
2023-06,20
2023-07,48
2023-08,13
2023-09,0
2023-10,0
2023-11,27
2023-12,37
