Category: All categories

Month,rawlings baseball: (United States)
2014-01,53
2014-02,73
2014-03,90
2014-04,89
2014-05,89
2014-06,86
2014-07,72
2014-08,70
2014-09,53
2014-10,53
2014-11,47
2014-12,49
2015-01,47
2015-02,67
2015-03,84
2015-04,97
2015-05,93
2015-06,83
2015-07,67
2015-08,64
2015-09,55
2015-10,43
2015-11,45
2015-12,47
2016-01,51
2016-02,77
2016-03,100
2016-04,92
2016-05,83
2016-06,80
2016-07,68
2016-08,62
2016-09,44
2016-10,46
2016-11,55
2016-12,51
2017-01,49
2017-02,68
2017-03,72
2017-04,81
2017-05,74
2017-06,66
2017-07,60
2017-08,58
2017-09,49
2017-10,51
2017-11,46
2017-12,47
2018-01,54
2018-02,73
2018-03,92
2018-04,84
2018-05,74
2018-06,72
2018-07,55
2018-08,51
2018-09,46
2018-10,39
2018-11,46
2018-12,40
2019-01,48
2019-02,68
2019-03,85
2019-04,86
2019-05,71
2019-06,68
2019-07,62
2019-08,54
2019-09,47
2019-10,41
2019-11,39
2019-12,42
2020-01,42
2020-02,62
2020-03,51
2020-04,31
2020-05,31
2020-06,47
2020-07,51
2020-08,51
2020-09,44
2020-10,37
2020-11,36
2020-12,30
2021-01,33
2021-02,43
2021-03,64
2021-04,71
2021-05,80
2021-06,65
2021-07,55
2021-08,52
2021-09,48
2021-10,44
2021-11,43
2021-12,37
2022-01,43
2022-02,68
2022-03,96
2022-04,99
2022-05,93
2022-06,89
2022-07,78
2022-08,58
2022-09,53
2022-10,45
2022-11,53
2022-12,41
2023-01,50
2023-02,70
2023-03,92
2023-04,95
2023-05,98
2023-06,91
2023-07,72
2023-08,64
2023-09,53
2023-10,54
2023-11,55
2023-12,49
