Category: All categories

Month,restaurants near me: (United States)
2014-01,6
2014-02,7
2014-03,8
2014-04,7
2014-05,9
2014-06,10
2014-07,11
2014-08,12
2014-09,11
2014-10,12
2014-11,12
2014-12,12
2015-01,13
2015-02,14
2015-03,14
2015-04,13
2015-05,16
2015-06,17
2015-07,22
2015-08,22
2015-09,17
2015-10,17
2015-11,17
2015-12,20
2016-01,21
2016-02,24
2016-03,24
2016-04,29
2016-05,31
2016-06,33
2016-07,39
2016-08,34
2016-09,32
2016-10,33
2016-11,32
2016-12,33
2017-01,32
2017-02,36
2017-03,38
2017-04,39
2017-05,40
2017-06,49
2017-07,57
2017-08,48
2017-09,45
2017-10,42
2017-11,39
2017-12,44
2018-01,39
2018-02,45
2018-03,50
2018-04,49
2018-05,49
2018-06,58
2018-07,65
2018-08,53
2018-09,53
2018-10,49
2018-11,51
2018-12,60
2019-01,48
2019-02,52
2019-03,60
2019-04,60
2019-05,65
2019-06,73
2019-07,77
2019-08,68
2019-09,58
2019-10,57
2019-11,61
2019-12,62
2020-01,57
2020-02,65
2020-03,42
2020-04,29
2020-05,46
2020-06,63
2020-07,66
2020-08,63
2020-09,63
2020-10,65
2020-11,56
2020-12,57
2021-01,61
2021-02,65
2021-03,78
2021-04,82
2021-05,89
2021-06,92
2021-07,100
2021-08,87
2021-09,76
2021-10,74
2021-11,66
2021-12,71
2022-01,53
2022-02,66
2022-03,66
2022-04,69
2022-05,67
2022-06,70
2022-07,77
2022-08,67
2022-09,61
2022-10,59
2022-11,53
2022-12,57
2023-01,53
2023-02,57
2023-03,57
2023-04,59
2023-05,62
2023-06,62
2023-07,70
2023-08,58
2023-09,53
2023-10,48
2023-11,48
2023-12,48
