Category: All categories

Month,rome vacation: (United States)
2014-01,100
2014-02,85
2014-03,90
2014-04,81
2014-05,91
2014-06,66
2014-07,79
2014-08,61
2014-09,75
2014-10,56
2014-11,59
2014-12,59
2015-01,96
2015-02,89
2015-03,90
2015-04,66
2015-05,75
2015-06,69
2015-07,78
2015-08,74
2015-09,56
2015-10,65
2015-11,46
2015-12,51
2016-01,64
2016-02,68
2016-03,70
2016-04,71
2016-05,75
2016-06,78
2016-07,71
2016-08,48
2016-09,59
2016-10,63
2016-11,62
2016-12,61
2017-01,85
2017-02,79
2017-03,81
2017-04,89
2017-05,70
2017-06,91
2017-07,93
2017-08,69
2017-09,78
2017-10,78
2017-11,66
2017-12,69
2018-01,99
2018-02,91
2018-03,86
2018-04,87
2018-05,71
2018-06,96
2018-07,87
2018-08,79
2018-09,75
2018-10,66
2018-11,53
2018-12,63
2019-01,83
2019-02,82
2019-03,74
2019-04,83
2019-05,71
2019-06,75
2019-07,73
2019-08,61
2019-09,54
2019-10,62
2019-11,53
2019-12,69
2020-01,83
2020-02,71
2020-03,27
2020-04,21
2020-05,23
2020-06,28
2020-07,23
2020-08,23
2020-09,19
2020-10,23
2020-11,21
2020-12,22
2021-01,34
2021-02,25
2021-03,40
2021-04,28
2021-05,50
2021-06,38
2021-07,48
2021-08,38
2021-09,49
2021-10,54
2021-11,50
2021-12,30
2022-01,50
2022-02,48
2022-03,48
2022-04,56
2022-05,67
2022-06,67
2022-07,75
2022-08,58
2022-09,58
2022-10,46
2022-11,50
2022-12,57
2023-01,82
2023-02,69
2023-03,69
2023-04,64
2023-05,73
2023-06,67
2023-07,63
2023-08,44
2023-09,55
2023-10,45
2023-11,57
2023-12,47
