Category: All categories

Month,Royal Caribbean: (United States)
2014-01,63
2014-02,47
2014-03,54
2014-04,40
2014-05,44
2014-06,46
2014-07,43
2014-08,41
2014-09,36
2014-10,32
2014-11,36
2014-12,35
2015-01,59
2015-02,50
2015-03,53
2015-04,43
2015-05,43
2015-06,45
2015-07,45
2015-08,41
2015-09,34
2015-10,34
2015-11,37
2015-12,36
2016-01,57
2016-02,57
2016-03,46
2016-04,40
2016-05,43
2016-06,35
2016-07,39
2016-08,37
2016-09,32
2016-10,35
2016-11,31
2016-12,34
2017-01,55
2017-02,52
2017-03,50
2017-04,41
2017-05,39
2017-06,44
2017-07,43
2017-08,42
2017-09,39
2017-10,40
2017-11,38
2017-12,40
2018-01,57
2018-02,50
2018-03,53
2018-04,45
2018-05,43
2018-06,47
2018-07,53
2018-08,51
2018-09,45
2018-10,42
2018-11,46
2018-12,46
2019-01,78
2019-02,73
2019-03,61
2019-04,54
2019-05,56
2019-06,57
2019-07,64
2019-08,52
2019-09,49
2019-10,45
2019-11,46
2019-12,48
2020-01,77
2020-02,62
2020-03,78
2020-04,40
2020-05,32
2020-06,30
2020-07,18
2020-08,15
2020-09,16
2020-10,15
2020-11,17
2020-12,14
2021-01,16
2021-02,17
2021-03,21
2021-04,22
2021-05,24
2021-06,37
2021-07,29
2021-08,26
2021-09,29
2021-10,42
2021-11,45
2021-12,44
2022-01,47
2022-02,55
2022-03,72
2022-04,67
2022-05,60
2022-06,65
2022-07,76
2022-08,74
2022-09,58
2022-10,61
2022-11,74
2022-12,69
2023-01,100
2023-02,85
2023-03,83
2023-04,74
2023-05,71
2023-06,78
2023-07,79
2023-08,65
2023-09,62
2023-10,56
2023-11,69
2023-12,66
