Category: All categories

Month,running shoes: (United States)
2014-01,53
2014-02,64
2014-03,69
2014-04,63
2014-05,59
2014-06,56
2014-07,61
2014-08,64
2014-09,52
2014-10,44
2014-11,42
2014-12,48
2015-01,52
2015-02,51
2015-03,64
2015-04,58
2015-05,54
2015-06,54
2015-07,58
2015-08,63
2015-09,53
2015-10,46
2015-11,49
2015-12,51
2016-01,56
2016-02,60
2016-03,72
2016-04,63
2016-05,64
2016-06,59
2016-07,63
2016-08,67
2016-09,58
2016-10,56
2016-11,57
2016-12,56
2017-01,55
2017-02,60
2017-03,67
2017-04,63
2017-05,62
2017-06,61
2017-07,67
2017-08,72
2017-09,58
2017-10,57
2017-11,61
2017-12,59
2018-01,57
2018-02,65
2018-03,72
2018-04,65
2018-05,66
2018-06,66
2018-07,67
2018-08,68
2018-09,61
2018-10,48
2018-11,58
2018-12,58
2019-01,58
2019-02,63
2019-03,71
2019-04,66
2019-05,65
2019-06,65
2019-07,68
2019-08,76
2019-09,66
2019-10,56
2019-11,60
2019-12,69
2020-01,68
2020-02,73
2020-03,61
2020-04,85
2020-05,100
2020-06,91
2020-07,78
2020-08,79
2020-09,71
2020-10,66
2020-11,71
2020-12,76
2021-01,75
2021-02,72
2021-03,89
2021-04,88
2021-05,83
2021-06,82
2021-07,89
2021-08,87
2021-09,77
2021-10,67
2021-11,80
2021-12,77
2022-01,73
2022-02,79
2022-03,90
2022-04,83
2022-05,73
2022-06,76
2022-07,79
2022-08,84
2022-09,68
2022-10,63
2022-11,72
2022-12,68
2023-01,71
2023-02,79
2023-03,79
2023-04,80
2023-05,80
2023-06,79
2023-07,78
2023-08,82
2023-09,71
2023-10,67
2023-11,82
2023-12,72
