Category: All categories

Month,satya nadella: (United States)
2014-01,23
2014-02,100
2014-03,9
2014-04,6
2014-05,5
2014-06,3
2014-07,12
2014-08,6
2014-09,5
2014-10,20
2014-11,4
2014-12,4
2015-01,4
2015-02,4
2015-03,4
2015-04,4
2015-05,4
2015-06,4
2015-07,6
2015-08,7
2015-09,6
2015-10,6
2015-11,3
2015-12,4
2016-01,4
2016-02,3
2016-03,2
2016-04,4
2016-05,3
2016-06,6
2016-07,3
2016-08,2
2016-09,3
2016-10,3
2016-11,3
2016-12,4
2017-01,4
2017-02,4
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,3
2017-08,2
2017-09,9
2017-10,12
2017-11,7
2017-12,6
2018-01,4
2018-02,5
2018-03,4
2018-04,3
2018-05,4
2018-06,5
2018-07,4
2018-08,4
2018-09,3
2018-10,5
2018-11,4
2018-12,4
2019-01,4
2019-02,4
2019-03,3
2019-04,3
2019-05,5
2019-06,3
2019-07,4
2019-08,3
2019-09,5
2019-10,6
2019-11,4
2019-12,5
2020-01,5
2020-02,5
2020-03,5
2020-04,3
2020-05,4
2020-06,4
2020-07,5
2020-08,6
2020-09,4
2020-10,3
2020-11,3
2020-12,3
2021-01,2
2021-02,3
2021-03,3
2021-04,3
2021-05,4
2021-06,5
2021-07,3
2021-08,2
2021-09,3
2021-10,3
2021-11,4
2021-12,4
2022-01,5
2022-02,4
2022-03,22
2022-04,4
2022-05,4
2022-06,3
2022-07,3
2022-08,3
2022-09,3
2022-10,3
2022-11,2
2022-12,2
2023-01,6
2023-02,6
2023-03,3
2023-04,4
2023-05,4
2023-06,4
2023-07,5
2023-08,4
2023-09,4
2023-10,5
2023-11,13
2023-12,3
