Category: All categories

Month,scotty cameron putters: (United States)
2014-01,26
2014-02,31
2014-03,42
2014-04,45
2014-05,44
2014-06,46
2014-07,49
2014-08,49
2014-09,37
2014-10,28
2014-11,26
2014-12,28
2015-01,27
2015-02,30
2015-03,35
2015-04,49
2015-05,47
2015-06,60
2015-07,47
2015-08,57
2015-09,40
2015-10,30
2015-11,27
2015-12,31
2016-01,33
2016-02,38
2016-03,41
2016-04,55
2016-05,43
2016-06,57
2016-07,49
2016-08,32
2016-09,30
2016-10,34
2016-11,30
2016-12,35
2017-01,33
2017-02,38
2017-03,38
2017-04,45
2017-05,47
2017-06,51
2017-07,56
2017-08,53
2017-09,32
2017-10,28
2017-11,33
2017-12,36
2018-01,29
2018-02,42
2018-03,53
2018-04,57
2018-05,54
2018-06,58
2018-07,56
2018-08,50
2018-09,45
2018-10,28
2018-11,26
2018-12,22
2019-01,28
2019-02,43
2019-03,46
2019-04,61
2019-05,62
2019-06,67
2019-07,61
2019-08,52
2019-09,32
2019-10,30
2019-11,26
2019-12,33
2020-01,40
2020-02,40
2020-03,28
2020-04,38
2020-05,46
2020-06,70
2020-07,71
2020-08,89
2020-09,62
2020-10,54
2020-11,55
2020-12,62
2021-01,51
2021-02,58
2021-03,60
2021-04,71
2021-05,64
2021-06,74
2021-07,63
2021-08,69
2021-09,60
2021-10,43
2021-11,52
2021-12,57
2022-01,62
2022-02,52
2022-03,61
2022-04,86
2022-05,68
2022-06,93
2022-07,100
2022-08,100
2022-09,64
2022-10,44
2022-11,42
2022-12,47
2023-01,50
2023-02,63
2023-03,73
2023-04,83
2023-05,76
2023-06,100
2023-07,98
2023-08,85
2023-09,56
2023-10,44
2023-11,46
2023-12,64
