Category: All categories

Month,scuba diving trip: (United States)
2014-01,89
2014-02,45
2014-03,41
2014-04,74
2014-05,89
2014-06,46
2014-07,52
2014-08,56
2014-09,43
2014-10,52
2014-11,54
2014-12,100
2015-01,90
2015-02,33
2015-03,80
2015-04,59
2015-05,61
2015-06,67
2015-07,51
2015-08,0
2015-09,33
2015-10,44
2015-11,49
2015-12,88
2016-01,79
2016-02,73
2016-03,65
2016-04,39
2016-05,61
2016-06,57
2016-07,51
2016-08,45
2016-09,51
2016-10,57
2016-11,33
2016-12,57
2017-01,50
2017-02,52
2017-03,64
2017-04,81
2017-05,62
2017-06,67
2017-07,55
2017-08,67
2017-09,37
2017-10,21
2017-11,52
2017-12,69
2018-01,67
2018-02,37
2018-03,88
2018-04,34
2018-05,46
2018-06,52
2018-07,75
2018-08,65
2018-09,39
2018-10,22
2018-11,73
2018-12,41
2019-01,49
2019-02,75
2019-03,67
2019-04,64
2019-05,62
2019-06,66
2019-07,58
2019-08,29
2019-09,61
2019-10,30
2019-11,44
2019-12,59
2020-01,46
2020-02,48
2020-03,31
2020-04,26
2020-05,35
2020-06,32
2020-07,35
2020-08,17
2020-09,24
2020-10,73
2020-11,55
2020-12,24
2021-01,39
2021-02,21
2021-03,40
2021-04,64
2021-05,34
2021-06,44
2021-07,27
2021-08,41
2021-09,26
2021-10,29
2021-11,32
2021-12,19
2022-01,48
2022-02,50
2022-03,63
2022-04,46
2022-05,57
2022-06,75
2022-07,65
2022-08,53
2022-09,38
2022-10,52
2022-11,41
2022-12,36
2023-01,21
2023-02,59
2023-03,34
2023-04,45
2023-05,58
2023-06,57
2023-07,63
2023-08,40
2023-09,42
2023-10,54
2023-11,42
2023-12,50
