Category: All categories

Month,skywest airlines: (United States)
2014-01,86
2014-02,80
2014-03,74
2014-04,85
2014-05,82
2014-06,77
2014-07,86
2014-08,74
2014-09,75
2014-10,72
2014-11,59
2014-12,71
2015-01,79
2015-02,61
2015-03,66
2015-04,86
2015-05,73
2015-06,74
2015-07,86
2015-08,78
2015-09,65
2015-10,63
2015-11,56
2015-12,56
2016-01,51
2016-02,58
2016-03,51
2016-04,53
2016-05,57
2016-06,57
2016-07,55
2016-08,51
2016-09,45
2016-10,46
2016-11,37
2016-12,45
2017-01,51
2017-02,41
2017-03,51
2017-04,60
2017-05,51
2017-06,61
2017-07,64
2017-08,64
2017-09,52
2017-10,58
2017-11,56
2017-12,54
2018-01,59
2018-02,65
2018-03,62
2018-04,65
2018-05,64
2018-06,64
2018-07,69
2018-08,71
2018-09,55
2018-10,53
2018-11,53
2018-12,55
2019-01,59
2019-02,62
2019-03,57
2019-04,53
2019-05,59
2019-06,67
2019-07,66
2019-08,73
2019-09,57
2019-10,55
2019-11,53
2019-12,51
2020-01,63
2020-02,63
2020-03,56
2020-04,40
2020-05,36
2020-06,37
2020-07,35
2020-08,33
2020-09,33
2020-10,38
2020-11,34
2020-12,31
2021-01,39
2021-02,44
2021-03,50
2021-04,52
2021-05,53
2021-06,68
2021-07,62
2021-08,68
2021-09,56
2021-10,100
2021-11,53
2021-12,54
2022-01,64
2022-02,64
2022-03,64
2022-04,67
2022-05,62
2022-06,66
2022-07,60
2022-08,65
2022-09,55
2022-10,51
2022-11,48
2022-12,54
2023-01,56
2023-02,58
2023-03,54
2023-04,52
2023-05,64
2023-06,59
2023-07,65
2023-08,62
2023-09,49
2023-10,54
2023-11,55
2023-12,50
