Category: All categories

Month,southwest airlines: (United States)
2014-01,99
2014-02,86
2014-03,86
2014-04,77
2014-05,85
2014-06,90
2014-07,93
2014-08,80
2014-09,81
2014-10,81
2014-11,71
2014-12,73
2015-01,84
2015-02,84
2015-03,86
2015-04,77
2015-05,71
2015-06,100
2015-07,86
2015-08,77
2015-09,66
2015-10,62
2015-11,60
2015-12,56
2016-01,60
2016-02,55
2016-03,60
2016-04,54
2016-05,75
2016-06,59
2016-07,64
2016-08,55
2016-09,48
2016-10,46
2016-11,44
2016-12,44
2017-01,48
2017-02,41
2017-03,62
2017-04,62
2017-05,50
2017-06,57
2017-07,54
2017-08,49
2017-09,47
2017-10,56
2017-11,63
2017-12,54
2018-01,60
2018-02,62
2018-03,60
2018-04,70
2018-05,62
2018-06,71
2018-07,75
2018-08,61
2018-09,60
2018-10,60
2018-11,54
2018-12,47
2019-01,60
2019-02,62
2019-03,71
2019-04,55
2019-05,57
2019-06,68
2019-07,62
2019-08,57
2019-09,54
2019-10,54
2019-11,51
2019-12,54
2020-01,58
2020-02,55
2020-03,49
2020-04,19
2020-05,26
2020-06,35
2020-07,25
2020-08,27
2020-09,29
2020-10,31
2020-11,24
2020-12,25
2021-01,29
2021-02,36
2021-03,52
2021-04,52
2021-05,59
2021-06,74
2021-07,59
2021-08,46
2021-09,46
2021-10,65
2021-11,50
2021-12,48
2022-01,58
2022-02,65
2022-03,74
2022-04,67
2022-05,65
2022-06,79
2022-07,64
2022-08,62
2022-09,61
2022-10,57
2022-11,53
2022-12,69
2023-01,54
2023-02,53
2023-03,52
2023-04,52
2023-05,48
2023-06,56
2023-07,48
2023-08,44
2023-09,44
2023-10,40
2023-11,39
2023-12,40
