Category: All categories

Month,spirit airlines: (United States)
2014-01,88
2014-02,87
2014-03,84
2014-04,77
2014-05,80
2014-06,85
2014-07,85
2014-08,78
2014-09,80
2014-10,74
2014-11,72
2014-12,72
2015-01,90
2015-02,95
2015-03,100
2015-04,80
2015-05,81
2015-06,94
2015-07,85
2015-08,81
2015-09,78
2015-10,71
2015-11,72
2015-12,73
2016-01,82
2016-02,73
2016-03,79
2016-04,75
2016-05,80
2016-06,68
2016-07,71
2016-08,71
2016-09,61
2016-10,61
2016-11,55
2016-12,58
2017-01,72
2017-02,75
2017-03,73
2017-04,65
2017-05,78
2017-06,75
2017-07,84
2017-08,74
2017-09,61
2017-10,65
2017-11,72
2017-12,69
2018-01,73
2018-02,81
2018-03,85
2018-04,76
2018-05,83
2018-06,89
2018-07,92
2018-08,88
2018-09,75
2018-10,62
2018-11,72
2018-12,64
2019-01,77
2019-02,89
2019-03,95
2019-04,82
2019-05,86
2019-06,96
2019-07,94
2019-08,88
2019-09,76
2019-10,71
2019-11,70
2019-12,72
2020-01,90
2020-02,87
2020-03,81
2020-04,26
2020-05,32
2020-06,54
2020-07,42
2020-08,35
2020-09,45
2020-10,51
2020-11,43
2020-12,41
2021-01,45
2021-02,56
2021-03,70
2021-04,60
2021-05,63
2021-06,77
2021-07,77
2021-08,94
2021-09,59
2021-10,61
2021-11,66
2021-12,64
2022-01,68
2022-02,99
2022-03,96
2022-04,90
2022-05,78
2022-06,86
2022-07,84
2022-08,75
2022-09,71
2022-10,69
2022-11,74
2022-12,71
2023-01,81
2023-02,88
2023-03,86
2023-04,73
2023-05,72
2023-06,79
2023-07,72
2023-08,64
2023-09,57
2023-10,59
2023-11,60
2023-12,60
