Category: All categories

Month,sundar pichai: (United States)
2014-01,1
2014-02,8
2014-03,2
2014-04,1
2014-05,<1
2014-06,5
2014-07,1
2014-08,1
2014-09,3
2014-10,13
2014-11,2
2014-12,1
2015-01,1
2015-02,1
2015-03,2
2015-04,1
2015-05,5
2015-06,2
2015-07,2
2015-08,100
2015-09,11
2015-10,9
2015-11,6
2015-12,15
2016-01,5
2016-02,12
2016-03,8
2016-04,7
2016-05,5
2016-06,6
2016-07,5
2016-08,3
2016-09,4
2016-10,6
2016-11,5
2016-12,5
2017-01,13
2017-02,12
2017-03,7
2017-04,15
2017-05,10
2017-06,6
2017-07,8
2017-08,18
2017-09,7
2017-10,9
2017-11,9
2017-12,7
2018-01,11
2018-02,10
2018-03,5
2018-04,8
2018-05,8
2018-06,6
2018-07,6
2018-08,5
2018-09,7
2018-10,7
2018-11,8
2018-12,36
2019-01,6
2019-02,7
2019-03,8
2019-04,6
2019-05,7
2019-06,9
2019-07,6
2019-08,5
2019-09,5
2019-10,7
2019-11,6
2019-12,29
2020-01,7
2020-02,7
2020-03,8
2020-04,8
2020-05,8
2020-06,13
2020-07,21
2020-08,9
2020-09,8
2020-10,11
2020-11,7
2020-12,7
2021-01,7
2021-02,6
2021-03,5
2021-04,6
2021-05,7
2021-06,6
2021-07,7
2021-08,4
2021-09,8
2021-10,8
2021-11,7
2021-12,6
2022-01,6
2022-02,7
2022-03,6
2022-04,7
2022-05,7
2022-06,7
2022-07,8
2022-08,8
2022-09,8
2022-10,7
2022-11,5
2022-12,6
2023-01,10
2023-02,9
2023-03,6
2023-04,28
2023-05,9
2023-06,7
2023-07,7
2023-08,5
2023-09,7
2023-10,6
2023-11,6
2023-12,6
