Category: All categories

Month,tim cook: (United States)
2014-01,12
2014-02,9
2014-03,13
2014-04,10
2014-05,12
2014-06,49
2014-07,17
2014-08,14
2014-09,51
2014-10,100
2014-11,43
2014-12,14
2015-01,12
2015-02,16
2015-03,35
2015-04,21
2015-05,15
2015-06,17
2015-07,11
2015-08,13
2015-09,29
2015-10,17
2015-11,14
2015-12,23
2016-01,14
2016-02,40
2016-03,24
2016-04,14
2016-05,21
2016-06,15
2016-07,10
2016-08,14
2016-09,32
2016-10,15
2016-11,13
2016-12,15
2017-01,14
2017-02,12
2017-03,10
2017-04,12
2017-05,12
2017-06,18
2017-07,10
2017-08,15
2017-09,26
2017-10,13
2017-11,17
2017-12,15
2018-01,14
2018-02,10
2018-03,13
2018-04,24
2018-05,12
2018-06,14
2018-07,9
2018-08,18
2018-09,19
2018-10,20
2018-11,15
2018-12,14
2019-01,18
2019-02,12
2019-03,29
2019-04,12
2019-05,14
2019-06,18
2019-07,10
2019-08,12
2019-09,16
2019-10,14
2019-11,14
2019-12,9
2020-01,18
2020-02,12
2020-03,10
2020-04,13
2020-05,12
2020-06,16
2020-07,17
2020-08,22
2020-09,16
2020-10,14
2020-11,9
2020-12,11
2021-01,18
2021-02,14
2021-03,9
2021-04,12
2021-05,12
2021-06,11
2021-07,9
2021-08,12
2021-09,14
2021-10,10
2021-11,10
2021-12,10
2022-01,17
2022-02,13
2022-03,14
2022-04,13
2022-05,11
2022-06,15
2022-07,11
2022-08,9
2022-09,18
2022-10,15
2022-11,18
2022-12,19
2023-01,19
2023-02,12
2023-03,10
2023-04,16
2023-05,12
2023-06,19
2023-07,11
2023-08,9
2023-09,21
2023-10,14
2023-11,14
2023-12,11
