Category: All categories

Month,titleist drivers: (United States)
2014-01,56
2014-02,48
2014-03,57
2014-04,79
2014-05,70
2014-06,53
2014-07,72
2014-08,75
2014-09,30
2014-10,40
2014-11,37
2014-12,31
2015-01,32
2015-02,37
2015-03,56
2015-04,64
2015-05,75
2015-06,85
2015-07,100
2015-08,87
2015-09,50
2015-10,48
2015-11,38
2015-12,45
2016-01,33
2016-02,51
2016-03,50
2016-04,67
2016-05,76
2016-06,62
2016-07,82
2016-08,60
2016-09,51
2016-10,44
2016-11,34
2016-12,30
2017-01,32
2017-02,44
2017-03,54
2017-04,44
2017-05,62
2017-06,67
2017-07,68
2017-08,56
2017-09,49
2017-10,44
2017-11,40
2017-12,30
2018-01,29
2018-02,48
2018-03,55
2018-04,51
2018-05,59
2018-06,88
2018-07,63
2018-08,67
2018-09,64
2018-10,51
2018-11,46
2018-12,44
2019-01,46
2019-02,38
2019-03,64
2019-04,66
2019-05,77
2019-06,74
2019-07,62
2019-08,57
2019-09,45
2019-10,33
2019-11,36
2019-12,29
2020-01,40
2020-02,47
2020-03,34
2020-04,40
2020-05,60
2020-06,77
2020-07,80
2020-08,73
2020-09,80
2020-10,73
2020-11,52
2020-12,61
2021-01,52
2021-02,77
2021-03,73
2021-04,90
2021-05,62
2021-06,62
2021-07,69
2021-08,51
2021-09,51
2021-10,28
2021-11,26
2021-12,43
2022-01,41
2022-02,43
2022-03,35
2022-04,56
2022-05,44
2022-06,79
2022-07,78
2022-08,70
2022-09,63
2022-10,36
2022-11,30
2022-12,28
2023-01,49
2023-02,64
2023-03,56
2023-04,64
2023-05,59
2023-06,52
2023-07,70
2023-08,56
2023-09,43
2023-10,40
2023-11,31
2023-12,35
