Category: All categories

Month,titleist irons: (United States)
2014-01,31
2014-02,41
2014-03,44
2014-04,50
2014-05,47
2014-06,46
2014-07,47
2014-08,45
2014-09,32
2014-10,24
2014-11,21
2014-12,23
2015-01,24
2015-02,29
2015-03,40
2015-04,51
2015-05,47
2015-06,46
2015-07,59
2015-08,55
2015-09,49
2015-10,37
2015-11,30
2015-12,28
2016-01,29
2016-02,34
2016-03,49
2016-04,62
2016-05,53
2016-06,54
2016-07,49
2016-08,45
2016-09,34
2016-10,30
2016-11,25
2016-12,29
2017-01,29
2017-02,36
2017-03,37
2017-04,49
2017-05,49
2017-06,57
2017-07,62
2017-08,57
2017-09,54
2017-10,43
2017-11,30
2017-12,33
2018-01,30
2018-02,43
2018-03,53
2018-04,59
2018-05,51
2018-06,55
2018-07,53
2018-08,47
2018-09,41
2018-10,30
2018-11,26
2018-12,28
2019-01,36
2019-02,42
2019-03,43
2019-04,60
2019-05,55
2019-06,79
2019-07,73
2019-08,75
2019-09,46
2019-10,40
2019-11,39
2019-12,40
2020-01,44
2020-02,59
2020-03,42
2020-04,42
2020-05,66
2020-06,88
2020-07,88
2020-08,89
2020-09,70
2020-10,55
2020-11,53
2020-12,52
2021-01,47
2021-02,53
2021-03,67
2021-04,80
2021-05,69
2021-06,77
2021-07,82
2021-08,75
2021-09,66
2021-10,48
2021-11,42
2021-12,42
2022-01,51
2022-02,49
2022-03,58
2022-04,76
2022-05,62
2022-06,71
2022-07,72
2022-08,65
2022-09,49
2022-10,37
2022-11,35
2022-12,36
2023-01,48
2023-02,66
2023-03,67
2023-04,84
2023-05,85
2023-06,98
2023-07,91
2023-08,100
2023-09,58
2023-10,45
2023-11,40
2023-12,45
