Category: All categories

Month,tourist traps: (United States)
2014-01,11
2014-02,38
2014-03,30
2014-04,51
2014-05,40
2014-06,50
2014-07,16
2014-08,45
2014-09,34
2014-10,34
2014-11,15
2014-12,29
2015-01,59
2015-02,51
2015-03,22
2015-04,51
2015-05,61
2015-06,39
2015-07,36
2015-08,54
2015-09,44
2015-10,25
2015-11,39
2015-12,21
2016-01,21
2016-02,31
2016-03,30
2016-04,29
2016-05,44
2016-06,19
2016-07,38
2016-08,40
2016-09,26
2016-10,32
2016-11,23
2016-12,30
2017-01,24
2017-02,38
2017-03,45
2017-04,44
2017-05,48
2017-06,35
2017-07,63
2017-08,46
2017-09,17
2017-10,24
2017-11,29
2017-12,41
2018-01,37
2018-02,41
2018-03,51
2018-04,69
2018-05,48
2018-06,67
2018-07,55
2018-08,76
2018-09,60
2018-10,58
2018-11,44
2018-12,33
2019-01,46
2019-02,32
2019-03,65
2019-04,48
2019-05,35
2019-06,61
2019-07,100
2019-08,46
2019-09,46
2019-10,37
2019-11,28
2019-12,25
2020-01,49
2020-02,30
2020-03,24
2020-04,16
2020-05,21
2020-06,29
2020-07,49
2020-08,22
2020-09,18
2020-10,17
2020-11,5
2020-12,30
2021-01,17
2021-02,25
2021-03,17
2021-04,29
2021-05,58
2021-06,38
2021-07,41
2021-08,56
2021-09,33
2021-10,33
2021-11,27
2021-12,39
2022-01,20
2022-02,42
2022-03,38
2022-04,44
2022-05,53
2022-06,51
2022-07,49
2022-08,48
2022-09,43
2022-10,44
2022-11,40
2022-12,46
2023-01,51
2023-02,54
2023-03,66
2023-04,47
2023-05,78
2023-06,85
2023-07,86
2023-08,78
2023-09,91
2023-10,90
2023-11,37
2023-12,50
