Category: All categories

Month,travel + leisure: (United States)
2014-01,63
2014-02,58
2014-03,59
2014-04,56
2014-05,58
2014-06,62
2014-07,64
2014-08,54
2014-09,51
2014-10,49
2014-11,48
2014-12,53
2015-01,61
2015-02,60
2015-03,60
2015-04,58
2015-05,60
2015-06,63
2015-07,64
2015-08,57
2015-09,56
2015-10,51
2015-11,53
2015-12,53
2016-01,59
2016-02,57
2016-03,60
2016-04,57
2016-05,61
2016-06,64
2016-07,63
2016-08,58
2016-09,51
2016-10,52
2016-11,52
2016-12,54
2017-01,63
2017-02,70
2017-03,66
2017-04,64
2017-05,62
2017-06,69
2017-07,67
2017-08,62
2017-09,58
2017-10,57
2017-11,57
2017-12,58
2018-01,66
2018-02,65
2018-03,68
2018-04,64
2018-05,62
2018-06,68
2018-07,65
2018-08,62
2018-09,57
2018-10,54
2018-11,56
2018-12,57
2019-01,65
2019-02,63
2019-03,63
2019-04,58
2019-05,64
2019-06,67
2019-07,64
2019-08,63
2019-09,58
2019-10,54
2019-11,54
2019-12,58
2020-01,67
2020-02,71
2020-03,100
2020-04,51
2020-05,58
2020-06,62
2020-07,73
2020-08,67
2020-09,61
2020-10,63
2020-11,61
2020-12,59
2021-01,64
2021-02,66
2021-03,72
2021-04,74
2021-05,75
2021-06,81
2021-07,76
2021-08,75
2021-09,69
2021-10,67
2021-11,67
2021-12,71
2022-01,78
2022-02,81
2022-03,82
2022-04,85
2022-05,81
2022-06,83
2022-07,76
2022-08,72
2022-09,65
2022-10,62
2022-11,60
2022-12,65
2023-01,71
2023-02,73
2023-03,76
2023-04,72
2023-05,73
2023-06,72
2023-07,74
2023-08,68
2023-09,66
2023-10,62
2023-11,63
2023-12,63
