Category: All categories

Month,travelocity: (United States)
2014-01,98
2014-02,94
2014-03,94
2014-04,85
2014-05,90
2014-06,100
2014-07,94
2014-08,85
2014-09,71
2014-10,65
2014-11,60
2014-12,58
2015-01,75
2015-02,79
2015-03,81
2015-04,74
2015-05,76
2015-06,80
2015-07,84
2015-08,71
2015-09,64
2015-10,58
2015-11,53
2015-12,55
2016-01,63
2016-02,62
2016-03,66
2016-04,58
2016-05,66
2016-06,66
2016-07,66
2016-08,54
2016-09,48
2016-10,45
2016-11,41
2016-12,42
2017-01,58
2017-02,56
2017-03,61
2017-04,52
2017-05,53
2017-06,56
2017-07,56
2017-08,49
2017-09,45
2017-10,42
2017-11,38
2017-12,37
2018-01,51
2018-02,56
2018-03,55
2018-04,50
2018-05,49
2018-06,55
2018-07,53
2018-08,48
2018-09,43
2018-10,38
2018-11,38
2018-12,36
2019-01,49
2019-02,48
2019-03,51
2019-04,46
2019-05,49
2019-06,54
2019-07,51
2019-08,46
2019-09,38
2019-10,37
2019-11,33
2019-12,33
2020-01,47
2020-02,44
2020-03,32
2020-04,10
2020-05,16
2020-06,22
2020-07,16
2020-08,17
2020-09,19
2020-10,18
2020-11,14
2020-12,14
2021-01,18
2021-02,22
2021-03,31
2021-04,30
2021-05,30
2021-06,35
2021-07,33
2021-08,24
2021-09,24
2021-10,24
2021-11,23
2021-12,20
2022-01,26
2022-02,33
2022-03,33
2022-04,29
2022-05,29
2022-06,28
2022-07,28
2022-08,26
2022-09,23
2022-10,23
2022-11,21
2022-12,21
2023-01,26
2023-02,27
2023-03,26
2023-04,22
2023-05,22
2023-06,24
2023-07,24
2023-08,20
2023-09,17
2023-10,17
2023-11,17
2023-12,15
