Category: All categories

Month,tripadvisor: (United States)
2014-01,68
2014-02,63
2014-03,68
2014-04,65
2014-05,72
2014-06,88
2014-07,100
2014-08,97
2014-09,72
2014-10,63
2014-11,53
2014-12,56
2015-01,73
2015-02,73
2015-03,78
2015-04,73
2015-05,78
2015-06,86
2015-07,93
2015-08,79
2015-09,62
2015-10,59
2015-11,47
2015-12,48
2016-01,54
2016-02,56
2016-03,62
2016-04,54
2016-05,58
2016-06,62
2016-07,64
2016-08,54
2016-09,44
2016-10,42
2016-11,34
2016-12,35
2017-01,49
2017-02,47
2017-03,52
2017-04,49
2017-05,49
2017-06,55
2017-07,63
2017-08,52
2017-09,42
2017-10,41
2017-11,36
2017-12,35
2018-01,45
2018-02,45
2018-03,42
2018-04,44
2018-05,46
2018-06,50
2018-07,52
2018-08,46
2018-09,35
2018-10,32
2018-11,28
2018-12,28
2019-01,35
2019-02,34
2019-03,35
2019-04,33
2019-05,36
2019-06,40
2019-07,42
2019-08,38
2019-09,32
2019-10,28
2019-11,25
2019-12,25
2020-01,32
2020-02,30
2020-03,15
2020-04,8
2020-05,10
2020-06,16
2020-07,15
2020-08,15
2020-09,13
2020-10,12
2020-11,9
2020-12,9
2021-01,11
2021-02,13
2021-03,16
2021-04,16
2021-05,19
2021-06,20
2021-07,21
2021-08,16
2021-09,15
2021-10,15
2021-11,13
2021-12,12
2022-01,16
2022-02,20
2022-03,21
2022-04,20
2022-05,19
2022-06,20
2022-07,21
2022-08,19
2022-09,16
2022-10,15
2022-11,13
2022-12,13
2023-01,17
2023-02,17
2023-03,17
2023-04,16
2023-05,15
2023-06,18
2023-07,20
2023-08,15
2023-09,13
2023-10,12
2023-11,10
2023-12,11
