Category: All categories

Month,trips: (United States)
2014-01,69
2014-02,66
2014-03,67
2014-04,67
2014-05,74
2014-06,75
2014-07,80
2014-08,70
2014-09,57
2014-10,54
2014-11,53
2014-12,52
2015-01,68
2015-02,69
2015-03,72
2015-04,68
2015-05,72
2015-06,78
2015-07,82
2015-08,76
2015-09,69
2015-10,59
2015-11,56
2015-12,54
2016-01,70
2016-02,72
2016-03,73
2016-04,65
2016-05,78
2016-06,82
2016-07,81
2016-08,87
2016-09,80
2016-10,78
2016-11,64
2016-12,62
2017-01,80
2017-02,83
2017-03,84
2017-04,78
2017-05,83
2017-06,91
2017-07,100
2017-08,79
2017-09,70
2017-10,72
2017-11,64
2017-12,66
2018-01,79
2018-02,75
2018-03,80
2018-04,75
2018-05,75
2018-06,85
2018-07,90
2018-08,78
2018-09,64
2018-10,61
2018-11,61
2018-12,62
2019-01,78
2019-02,74
2019-03,78
2019-04,71
2019-05,77
2019-06,82
2019-07,86
2019-08,78
2019-09,63
2019-10,60
2019-11,58
2019-12,63
2020-01,81
2020-02,77
2020-03,57
2020-04,39
2020-05,49
2020-06,64
2020-07,63
2020-08,61
2020-09,52
2020-10,48
2020-11,39
2020-12,41
2021-01,49
2021-02,51
2021-03,71
2021-04,62
2021-05,69
2021-06,82
2021-07,82
2021-08,67
2021-09,65
2021-10,63
2021-11,58
2021-12,55
2022-01,67
2022-02,76
2022-03,76
2022-04,69
2022-05,77
2022-06,79
2022-07,80
2022-08,75
2022-09,62
2022-10,57
2022-11,57
2022-12,57
2023-01,74
2023-02,72
2023-03,69
2023-04,68
2023-05,73
2023-06,84
2023-07,76
2023-08,65
2023-09,61
2023-10,57
2023-11,55
2023-12,57
