Category: All categories

Month,tropical vacations: (United States)
2014-01,80
2014-02,65
2014-03,61
2014-04,47
2014-05,45
2014-06,51
2014-07,43
2014-08,42
2014-09,34
2014-10,38
2014-11,41
2014-12,40
2015-01,68
2015-02,66
2015-03,52
2015-04,43
2015-05,38
2015-06,55
2015-07,50
2015-08,49
2015-09,36
2015-10,39
2015-11,41
2015-12,47
2016-01,75
2016-02,60
2016-03,50
2016-04,51
2016-05,45
2016-06,44
2016-07,53
2016-08,43
2016-09,43
2016-10,35
2016-11,42
2016-12,48
2017-01,80
2017-02,71
2017-03,68
2017-04,57
2017-05,56
2017-06,55
2017-07,66
2017-08,50
2017-09,42
2017-10,40
2017-11,50
2017-12,59
2018-01,100
2018-02,75
2018-03,68
2018-04,53
2018-05,65
2018-06,54
2018-07,69
2018-08,56
2018-09,49
2018-10,46
2018-11,46
2018-12,63
2019-01,99
2019-02,87
2019-03,73
2019-04,64
2019-05,54
2019-06,60
2019-07,53
2019-08,45
2019-09,43
2019-10,44
2019-11,47
2019-12,54
2020-01,75
2020-02,60
2020-03,36
2020-04,27
2020-05,25
2020-06,30
2020-07,23
2020-08,29
2020-09,26
2020-10,24
2020-11,25
2020-12,36
2021-01,49
2021-02,46
2021-03,53
2021-04,52
2021-05,48
2021-06,56
2021-07,55
2021-08,35
2021-09,35
2021-10,34
2021-11,42
2021-12,38
2022-01,76
2022-02,74
2022-03,72
2022-04,62
2022-05,52
2022-06,50
2022-07,56
2022-08,50
2022-09,46
2022-10,41
2022-11,45
2022-12,54
2023-01,84
2023-02,72
2023-03,68
2023-04,51
2023-05,52
2023-06,56
2023-07,48
2023-08,42
2023-09,37
2023-10,34
2023-11,39
2023-12,51
