Category: All categories

Month,Under Armour: (United States)
2014-01,58
2014-02,53
2014-03,51
2014-04,45
2014-05,42
2014-06,41
2014-07,51
2014-08,62
2014-09,53
2014-10,53
2014-11,73
2014-12,80
2015-01,53
2015-02,50
2015-03,50
2015-04,49
2015-05,47
2015-06,49
2015-07,59
2015-08,63
2015-09,55
2015-10,56
2015-11,79
2015-12,79
2016-01,59
2016-02,53
2016-03,61
2016-04,59
2016-05,57
2016-06,58
2016-07,59
2016-08,69
2016-09,55
2016-10,53
2016-11,94
2016-12,100
2017-01,64
2017-02,76
2017-03,65
2017-04,65
2017-05,58
2017-06,63
2017-07,71
2017-08,83
2017-09,63
2017-10,67
2017-11,82
2017-12,90
2018-01,65
2018-02,62
2018-03,62
2018-04,52
2018-05,55
2018-06,61
2018-07,67
2018-08,67
2018-09,61
2018-10,58
2018-11,88
2018-12,80
2019-01,57
2019-02,54
2019-03,59
2019-04,50
2019-05,52
2019-06,55
2019-07,58
2019-08,61
2019-09,49
2019-10,52
2019-11,70
2019-12,74
2020-01,51
2020-02,49
2020-03,35
2020-04,41
2020-05,52
2020-06,58
2020-07,61
2020-08,57
2020-09,53
2020-10,51
2020-11,70
2020-12,64
2021-01,47
2021-02,42
2021-03,48
2021-04,45
2021-05,42
2021-06,42
2021-07,48
2021-08,41
2021-09,37
2021-10,30
2021-11,47
2021-12,37
2022-01,32
2022-02,33
2022-03,39
2022-04,32
2022-05,28
2022-06,26
2022-07,31
2022-08,32
2022-09,24
2022-10,22
2022-11,31
2022-12,28
2023-01,20
2023-02,17
2023-03,17
2023-04,17
2023-05,17
2023-06,17
2023-07,39
2023-08,44
2023-09,35
2023-10,35
2023-11,54
2023-12,49
