Category: All categories

Month,Under Armour basketball shoes: (United States)
2014-01,32
2014-02,32
2014-03,32
2014-04,30
2014-05,24
2014-06,18
2014-07,24
2014-08,43
2014-09,35
2014-10,55
2014-11,87
2014-12,68
2015-01,51
2015-02,48
2015-03,50
2015-04,36
2015-05,35
2015-06,47
2015-07,34
2015-08,43
2015-09,41
2015-10,71
2015-11,100
2015-12,69
2016-01,53
2016-02,60
2016-03,54
2016-04,49
2016-05,48
2016-06,54
2016-07,41
2016-08,47
2016-09,36
2016-10,71
2016-11,97
2016-12,80
2017-01,49
2017-02,39
2017-03,38
2017-04,33
2017-05,25
2017-06,30
2017-07,35
2017-08,37
2017-09,35
2017-10,56
2017-11,84
2017-12,64
2018-01,40
2018-02,33
2018-03,29
2018-04,23
2018-05,24
2018-06,26
2018-07,27
2018-08,30
2018-09,27
2018-10,52
2018-11,72
2018-12,55
2019-01,35
2019-02,34
2019-03,37
2019-04,29
2019-05,28
2019-06,27
2019-07,30
2019-08,29
2019-09,29
2019-10,42
2019-11,65
2019-12,45
2020-01,35
2020-02,30
2020-03,21
2020-04,11
2020-05,12
2020-06,15
2020-07,19
2020-08,18
2020-09,17
2020-10,28
2020-11,24
2020-12,25
2021-01,21
2021-02,21
2021-03,23
2021-04,20
2021-05,20
2021-06,22
2021-07,25
2021-08,22
2021-09,23
2021-10,35
2021-11,63
2021-12,46
2022-01,36
2022-02,33
2022-03,34
2022-04,29
2022-05,26
2022-06,29
2022-07,30
2022-08,26
2022-09,27
2022-10,38
2022-11,57
2022-12,43
2023-01,31
2023-02,27
2023-03,28
2023-04,24
2023-05,24
2023-06,25
2023-07,20
2023-08,25
2023-09,21
2023-10,32
2023-11,46
2023-12,33
