Category: All categories

Month,united airlines: (United States)
2014-01,52
2014-02,52
2014-03,47
2014-04,46
2014-05,49
2014-06,48
2014-07,51
2014-08,48
2014-09,43
2014-10,40
2014-11,37
2014-12,38
2015-01,43
2015-02,41
2015-03,45
2015-04,41
2015-05,44
2015-06,48
2015-07,51
2015-08,45
2015-09,42
2015-10,40
2015-11,38
2015-12,38
2016-01,34
2016-02,31
2016-03,38
2016-04,32
2016-05,36
2016-06,34
2016-07,34
2016-08,33
2016-09,28
2016-10,29
2016-11,27
2016-12,28
2017-01,31
2017-02,30
2017-03,32
2017-04,100
2017-05,38
2017-06,39
2017-07,40
2017-08,40
2017-09,33
2017-10,33
2017-11,33
2017-12,31
2018-01,36
2018-02,36
2018-03,40
2018-04,36
2018-05,36
2018-06,39
2018-07,39
2018-08,38
2018-09,33
2018-10,31
2018-11,31
2018-12,29
2019-01,33
2019-02,33
2019-03,35
2019-04,33
2019-05,35
2019-06,38
2019-07,37
2019-08,35
2019-09,31
2019-10,31
2019-11,29
2019-12,32
2020-01,33
2020-02,32
2020-03,36
2020-04,15
2020-05,15
2020-06,18
2020-07,14
2020-08,14
2020-09,16
2020-10,17
2020-11,15
2020-12,17
2021-01,15
2021-02,20
2021-03,22
2021-04,22
2021-05,23
2021-06,29
2021-07,29
2021-08,25
2021-09,25
2021-10,27
2021-11,25
2021-12,26
2022-01,30
2022-02,33
2022-03,35
2022-04,33
2022-05,34
2022-06,37
2022-07,35
2022-08,33
2022-09,32
2022-10,30
2022-11,29
2022-12,32
2023-01,34
2023-02,35
2023-03,35
2023-04,32
2023-05,34
2023-06,38
2023-07,39
2023-08,31
2023-09,30
2023-10,28
2023-11,28
2023-12,27
