Category: All categories

Month,warren buffett: (United States)
2014-01,37
2014-02,25
2014-03,100
2014-04,22
2014-05,23
2014-06,17
2014-07,23
2014-08,24
2014-09,25
2014-10,23
2014-11,19
2014-12,20
2015-01,20
2015-02,22
2015-03,29
2015-04,20
2015-05,24
2015-06,23
2015-07,21
2015-08,25
2015-09,24
2015-10,21
2015-11,20
2015-12,19
2016-01,21
2016-02,21
2016-03,24
2016-04,20
2016-05,23
2016-06,17
2016-07,17
2016-08,24
2016-09,19
2016-10,27
2016-11,22
2016-12,18
2017-01,36
2017-02,58
2017-03,36
2017-04,20
2017-05,27
2017-06,20
2017-07,19
2017-08,19
2017-09,18
2017-10,19
2017-11,19
2017-12,25
2018-01,28
2018-02,29
2018-03,29
2018-04,18
2018-05,25
2018-06,18
2018-07,19
2018-08,22
2018-09,20
2018-10,21
2018-11,19
2018-12,18
2019-01,21
2019-02,25
2019-03,25
2019-04,19
2019-05,24
2019-06,24
2019-07,18
2019-08,19
2019-09,18
2019-10,18
2019-11,17
2019-12,17
2020-01,19
2020-02,30
2020-03,39
2020-04,33
2020-05,45
2020-06,23
2020-07,24
2020-08,27
2020-09,22
2020-10,22
2020-11,19
2020-12,20
2021-01,30
2021-02,29
2021-03,21
2021-04,18
2021-05,25
2021-06,20
2021-07,16
2021-08,17
2021-09,13
2021-10,12
2021-11,16
2021-12,14
2022-01,19
2022-02,21
2022-03,20
2022-04,23
2022-05,27
2022-06,20
2022-07,16
2022-08,19
2022-09,15
2022-10,14
2022-11,15
2022-12,15
2023-01,15
2023-02,18
2023-03,23
2023-04,19
2023-05,26
2023-06,14
2023-07,15
2023-08,18
2023-09,21
2023-10,17
2023-11,26
2023-12,20
