Category: All categories

Month,lululemon womens leggings: (United States)
2014-01,6
2014-02,3
2014-03,<1
2014-04,0
2014-05,3
2014-06,18
2014-07,7
2014-08,7
2014-09,7
2014-10,11
2014-11,18
2014-12,12
2015-01,3
2015-02,4
2015-03,11
2015-04,6
2015-05,3
2015-06,10
2015-07,6
2015-08,5
2015-09,14
2015-10,8
2015-11,8
2015-12,26
2016-01,15
2016-02,14
2016-03,10
2016-04,0
2016-05,8
2016-06,20
2016-07,14
2016-08,11
2016-09,0
2016-10,22
2016-11,36
2016-12,36
2017-01,27
2017-02,24
2017-03,13
2017-04,21
2017-05,18
2017-06,9
2017-07,4
2017-08,17
2017-09,21
2017-10,22
2017-11,52
2017-12,52
2018-01,30
2018-02,35
2018-03,25
2018-04,12
2018-05,13
2018-06,17
2018-07,20
2018-08,13
2018-09,16
2018-10,33
2018-11,56
2018-12,75
2019-01,32
2019-02,36
2019-03,27
2019-04,31
2019-05,31
2019-06,16
2019-07,25
2019-08,23
2019-09,22
2019-10,40
2019-11,92
2019-12,100
2020-01,47
2020-02,45
2020-03,36
2020-04,47
2020-05,33
2020-06,24
2020-07,24
2020-08,24
2020-09,27
2020-10,32
2020-11,84
2020-12,77
2021-01,35
2021-02,39
2021-03,30
2021-04,27
2021-05,25
2021-06,12
2021-07,14
2021-08,21
2021-09,24
2021-10,31
2021-11,92
2021-12,65
2022-01,49
2022-02,36
2022-03,29
2022-04,25
2022-05,30
2022-06,26
2022-07,18
2022-08,34
2022-09,29
2022-10,52
2022-11,76
2022-12,67
2023-01,35
2023-02,35
2023-03,34
2023-04,28
2023-05,20
2023-06,21
2023-07,25
2023-08,19
2023-09,30
2023-10,47
2023-11,80
2023-12,75
