Category: All categories

Month,wynn: (United States)
2014-01,47
2014-02,44
2014-03,43
2014-04,52
2014-05,47
2014-06,41
2014-07,46
2014-08,42
2014-09,39
2014-10,37
2014-11,34
2014-12,35
2015-01,40
2015-02,38
2015-03,42
2015-04,45
2015-05,41
2015-06,42
2015-07,47
2015-08,46
2015-09,42
2015-10,43
2015-11,35
2015-12,39
2016-01,44
2016-02,43
2016-03,43
2016-04,46
2016-05,43
2016-06,44
2016-07,45
2016-08,45
2016-09,39
2016-10,40
2016-11,35
2016-12,39
2017-01,43
2017-02,39
2017-03,44
2017-04,40
2017-05,42
2017-06,43
2017-07,47
2017-08,43
2017-09,39
2017-10,43
2017-11,42
2017-12,36
2018-01,100
2018-02,73
2018-03,49
2018-04,54
2018-05,43
2018-06,43
2018-07,43
2018-08,49
2018-09,41
2018-10,39
2018-11,40
2018-12,40
2019-01,44
2019-02,43
2019-03,45
2019-04,47
2019-05,46
2019-06,49
2019-07,43
2019-08,45
2019-09,46
2019-10,38
2019-11,39
2019-12,39
2020-01,41
2020-02,44
2020-03,47
2020-04,38
2020-05,37
2020-06,52
2020-07,48
2020-08,38
2020-09,37
2020-10,34
2020-11,30
2020-12,29
2021-01,29
2021-02,33
2021-03,36
2021-04,39
2021-05,44
2021-06,51
2021-07,52
2021-08,44
2021-09,50
2021-10,45
2021-11,46
2021-12,43
2022-01,42
2022-02,43
2022-03,44
2022-04,58
2022-05,47
2022-06,49
2022-07,47
2022-08,47
2022-09,40
2022-10,48
2022-11,45
2022-12,48
2023-01,45
2023-02,46
2023-03,46
2023-04,45
2023-05,46
2023-06,47
2023-07,53
2023-08,46
2023-09,44
2023-10,44
2023-11,48
2023-12,61
