Category: All categories

Month,xenia hotels & resorts: (United States)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,23
2014-11,0
2014-12,0
2015-01,31
2015-02,58
2015-03,0
2015-04,24
2015-05,66
2015-06,0
2015-07,0
2015-08,59
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,47
2016-04,34
2016-05,0
2016-06,0
2016-07,28
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,67
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,26
2017-06,0
2017-07,0
2017-08,27
2017-09,52
2017-10,33
2017-11,0
2017-12,0
2018-01,19
2018-02,0
2018-03,24
2018-04,42
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,33
2018-10,23
2018-11,0
2018-12,0
2019-01,21
2019-02,36
2019-03,0
2019-04,0
2019-05,0
2019-06,38
2019-07,0
2019-08,22
2019-09,0
2019-10,14
2019-11,0
2019-12,0
2020-01,14
2020-02,0
2020-03,13
2020-04,0
2020-05,22
2020-06,0
2020-07,0
2020-08,22
2020-09,0
2020-10,16
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,37
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,26
2021-10,0
2021-11,0
2021-12,0
2022-01,100
2022-02,0
2022-03,0
2022-04,18
2022-05,21
2022-06,0
2022-07,0
2022-08,31
2022-09,0
2022-10,47
2022-11,45
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,18
2023-06,0
2023-07,16
2023-08,0
2023-09,17
2023-10,0
2023-11,16
2023-12,13
