Category: All categories

Month,Nike Air Max: (United States)
2014-02,31
2014-03,34
2014-04,31
2014-05,29
2014-06,24
2014-07,31
2014-08,34
2014-09,25
2014-10,23
2014-11,27
2014-12,35
2015-01,28
2015-02,32
2015-03,38
2015-04,38
2015-05,34
2015-06,31
2015-07,35
2015-08,38
2015-09,31
2015-10,31
2015-11,38
2015-12,49
2016-01,45
2016-02,46
2016-03,57
2016-04,46
2016-05,43
2016-06,37
2016-07,42
2016-08,43
2016-09,34
2016-10,36
2016-11,42
2016-12,49
2017-01,34
2017-02,37
2017-03,47
2017-04,41
2017-05,38
2017-06,34
2017-07,40
2017-08,46
2017-09,39
2017-10,37
2017-11,45
2017-12,55
2018-01,44
2018-02,56
2018-03,82
2018-04,68
2018-05,58
2018-06,59
2018-07,68
2018-08,80
2018-09,55
2018-10,53
2018-11,68
2018-12,83
2019-01,67
2019-02,77
2019-03,89
2019-04,74
2019-05,67
2019-06,67
2019-07,79
2019-08,89
2019-09,62
2019-10,57
2019-11,73
2019-12,100
2020-01,68
2020-02,75
2020-03,65
2020-04,63
2020-05,76
2020-06,74
2020-07,72
2020-08,70
2020-09,57
2020-10,57
2020-11,69
2020-12,78
2021-01,61
2021-02,60
2021-03,82
2021-04,78
2021-05,62
2021-06,58
2021-07,62
2021-08,70
2021-09,55
2021-10,51
2021-11,69
2021-12,77
2022-01,52
2022-02,56
2022-03,60
2022-04,56
2022-05,49
2022-06,47
2022-07,55
2022-08,66
2022-09,47
2022-10,41
2022-11,55
2022-12,60
2023-01,46
2023-02,47
2023-03,50
2023-04,46
2023-05,44
2023-06,42
2023-07,49
2023-08,54
2023-09,39
2023-10,36
2023-11,52
2023-12,57
2024-01,43
