Category: All categories

Month,Nike running shoes: (United States)
2014-02,66
2014-03,71
2014-04,70
2014-05,59
2014-06,61
2014-07,65
2014-08,74
2014-09,54
2014-10,45
2014-11,51
2014-12,60
2015-01,55
2015-02,62
2015-03,69
2015-04,63
2015-05,59
2015-06,60
2015-07,69
2015-08,70
2015-09,54
2015-10,49
2015-11,64
2015-12,68
2016-01,66
2016-02,77
2016-03,85
2016-04,68
2016-05,72
2016-06,69
2016-07,75
2016-08,81
2016-09,67
2016-10,65
2016-11,77
2016-12,83
2017-01,69
2017-02,75
2017-03,78
2017-04,69
2017-05,66
2017-06,65
2017-07,73
2017-08,84
2017-09,64
2017-10,61
2017-11,70
2017-12,75
2018-01,60
2018-02,73
2018-03,87
2018-04,70
2018-05,63
2018-06,63
2018-07,74
2018-08,68
2018-09,59
2018-10,43
2018-11,59
2018-12,65
2019-01,51
2019-02,60
2019-03,60
2019-04,58
2019-05,54
2019-06,58
2019-07,61
2019-08,60
2019-09,57
2019-10,49
2019-11,58
2019-12,70
2020-01,61
2020-02,69
2020-03,60
2020-04,86
2020-05,100
2020-06,88
2020-07,81
2020-08,78
2020-09,57
2020-10,51
2020-11,74
2020-12,80
2021-01,66
2021-02,57
2021-03,72
2021-04,64
2021-05,58
2021-06,60
2021-07,62
2021-08,71
2021-09,58
2021-10,55
2021-11,59
2021-12,63
2022-01,54
2022-02,61
2022-03,75
2022-04,65
2022-05,56
2022-06,57
2022-07,59
2022-08,66
2022-09,51
2022-10,48
2022-11,56
2022-12,57
2023-01,51
2023-02,54
2023-03,57
2023-04,56
2023-05,52
2023-06,53
2023-07,57
2023-08,51
2023-09,50
2023-10,46
2023-11,62
2023-12,62
2024-01,57
