Category: All categories

Month,lululemon: (United States)
2014-01,23
2014-02,20
2014-03,22
2014-04,20
2014-05,18
2014-06,18
2014-07,18
2014-08,18
2014-09,17
2014-10,18
2014-11,22
2014-12,28
2015-01,20
2015-02,19
2015-03,19
2015-04,17
2015-05,16
2015-06,18
2015-07,19
2015-08,19
2015-09,18
2015-10,19
2015-11,25
2015-12,31
2016-01,23
2016-02,21
2016-03,20
2016-04,20
2016-05,20
2016-06,20
2016-07,20
2016-08,20
2016-09,20
2016-10,18
2016-11,28
2016-12,32
2017-01,23
2017-02,20
2017-03,20
2017-04,19
2017-05,20
2017-06,18
2017-07,21
2017-08,20
2017-09,20
2017-10,21
2017-11,33
2017-12,35
2018-01,25
2018-02,23
2018-03,22
2018-04,21
2018-05,21
2018-06,21
2018-07,22
2018-08,22
2018-09,21
2018-10,23
2018-11,36
2018-12,43
2019-01,28
2019-02,25
2019-03,27
2019-04,27
2019-05,26
2019-06,26
2019-07,28
2019-08,28
2019-09,28
2019-10,29
2019-11,45
2019-12,59
2020-01,37
2020-02,33
2020-03,29
2020-04,39
2020-05,40
2020-06,38
2020-07,38
2020-08,31
2020-09,30
2020-10,28
2020-11,44
2020-12,50
2021-01,32
2021-02,28
2021-03,28
2021-04,29
2021-05,30
2021-06,31
2021-07,34
2021-08,33
2021-09,33
2021-10,36
2021-11,62
2021-12,62
2022-01,50
2022-02,45
2022-03,47
2022-04,47
2022-05,48
2022-06,56
2022-07,62
2022-08,64
2022-09,58
2022-10,56
2022-11,86
2022-12,92
2023-01,67
2023-02,58
2023-03,56
2023-04,57
2023-05,59
2023-06,62
2023-07,65
2023-08,63
2023-09,57
2023-10,61
2023-11,100
2023-12,91
